Name, RollNumber, Marks
Kevin, 1, 93 87 78 38 55 
Sheryl, 2, 85 79 58 98 54 
Mike, 3, 68 94 28 84 96 45 81 64 
Kyle, 4, 93 84 69 40 85 93 
Shirley, 5, 85 39 94 74 88 
Kelly, 6, 84 46 74 94 88 74 
Arthur, 7, 85 72 99 
Leonard, 8, 93 75 83 55 74 83 
Sam, 9, 38 93 88 100 55 
Alice, 10, 85 72 69 81 92 
Bob, 11, 93 88 74 55 68 77 
Catherine, 12, 78 84 92 61 45 89 
David, 13, 69 85 93 72 78 
Eva, 14, 88 94 75 82 91 
Frank, 15, 72 89 68 94 77 85 
Grace, 16, 85 76 92 61 89 
Hannah, 17, 93 72 78 85 69 
Ivy, 18, 84 95 61 78 72 
John, 19, 75 88 95 84 77 92 
Ella, 20, 88 70 93 68 77 85 72 91 79 62 
William, 21, 94 73 86 79 91 68 72 88 75 64 
Charlotte, 22, 86 78 95 71 84 92 67 73 90 66 
James, 23, 91 75 89 68 82 79 94 73 67 85 
Amelia, 24, 89 66 78 95 83 74 71 90 76 81 
Benjamin, 25, 92 68 84 77 91 70 73 89 75 86 
Sophia, 26, 90 71 87 74 92 68 76 85 79 66 
Lucas, 27, 93 72 88 75 94 79 68 77 86 61 
Mia, 28, 88 76 85 71 90 67 79 92 74 68 
Henry, 29, 91 69 94 67 82 79 76 88 73 65 
Aiden, 30, 89 72 83 69 94 78 65 87 76 71 
Harper, 31, 90 74 68 92 77 85 69 91 72 66 
Jackson, 32, 92 75 86 71 89 67 76 83 79 64 
Evelyn, 33, 86 73 90 78 84 70 75 88 68 72 
Michael, 34, 91 77 84 73 89 67 79 85 70 66 
Lily, 35, 87 68 92 76 81 71 78 90 74 65 
Daniel, 36, 90 76 81 68 93 72 75 89 77 66 
Abigail, 37, 92 74 89 70 85 79 71 88 67 76 
Henry, 38, 89 70 94 72 86 68 78 91 73 65 
Emily, 39, 93 78 87 75 91 70 76 89 69 71 
Alexander, 40, 91 73 84 69 88 76 68 90 74 79 
Ella, 41, 88 72 86 70 94 77 65 89 75 81 
William, 42, 94 75 88 71 92 78 68 86 72 67 
Charlotte, 43, 87 71 92 73 84 70 76 89 79 65 
James, 44, 90 69 86 77 93 72 68 84 78 66 
Amelia, 45, 89 74 83 70 91 76 71 85 68 79 
Benjamin, 46, 88 73 85 75 90 70 78 87 66 79 
Sophia, 47, 91 70 84 72 93 74 68 88 77 81 
Lucas, 48, 94 72 88 78 92 75 67 86 73 66 
Mia, 49, 90 71 87 79 91 76 68 85 74 65 
Ava, 50, 87 72 89 74 92 68 75 86 79 81 
Oliver, 51, 91 73 88 77 93 70 68 84 79 72 
Emma, 52, 89 70 84 76 91 75 73 88 68 86 
Liam, 53, 93 74 85 78 94 67 71 89 72 77 
Sophia, 54, 92 72 88 70 91 75 76 86 68 79 
Noah, 55, 88 71 84 75 92 69 78 87 74 81 
Olivia, 56, 90 73 85 76 94 72 74 89 68 82 
Jackson, 57, 91 70 86 77 93 68 71 88 79 75 
Isabella, 58, 87 72 83 78 91 74 69 85 70 76 
Lucas, 59, 94 74 88 79 92 70 73 89 75 68 
Mason, 60, 90 73 86 76 94 69 72 88 71 79 
Aria, 61, 89 72 85 77 93 70 75 87 68 81 
Henry, 62, 88 70 89 74 91 76 72 86 79 68 
Evelyn, 63, 91 73 88 76 92 70 71 87 75 69 
Liam, 64, 92 74 86 79 94 68 75 88 71 70 
Scarlett, 65, 87 72 83 78 91 76 73 89 68 70 
Alexander, 66, 94 73 85 79 93 70 72 88 74 76 
Grace, 67, 89 71 87 76 92 74 70 85 73 79 
Benjamin, 68, 88 72 86 75 94 68 77 89 70 81 
Mia, 69, 91 74 84 77 91 75 71 88 68 82 
William, 70, 90 70 88 78 93 70 72 86 75 68 
Lucy, 71, 93 73 89 76 94 68 76 87 71 79 
James, 72, 92 71 85 77 91 69 75 88 74 80 
Avery, 73, 88 70 86 78 92 72 73 85 68 76 
Ella, 74, 94 72 87 75 93 69 71 89 70 82 
Jack, 75, 90 71 84 79 94 68 72 88 73 78 
Charlotte, 76, 91 74 85 76 92 70 75 87 68 79 
Matthew, 77, 92 73 88 77 91 69 74 86 75 81 
Luna, 78, 89 72 84 78 93 68 71 89 76 70 
Logan, 79, 91 73 86 77 92 70 74 88 76 68 
Aria, 80, 88 72 85 76 90 74 71 86 78 68 
Liam, 81, 93 74 87 79 94 69 73 88 75 71 
Sophia, 82, 89 70 86 78 91 76 72 87 74 69 
Jackson, 83, 90 73 88 75 92 71 74 86 77 68 
Olivia, 84, 92 72 89 76 94 68 76 87 70 79 
Lucas, 85, 91 70 87 77 93 69 75 88 76 71 
Amelia, 86, 88 71 84 78 91 72 73 85 68 76 
William, 87, 94 73 86 79 94 68 74 89 75 70 
Ava, 88, 90 72 85 76 92 70 71 87 78 68 
Noah, 89, 91 74 88 77 91 76 72 86 79 68 
Emma, 90, 88 70 86 78 93 71 73 88 75 69 
Oliver, 91, 93 72 87 79 94 69 74 89 76 68 
Harper, 92, 90 71 85 76 92 68 75 87 78 70 
Liam, 93, 91 70 86 77 93 74 71 86 79 68 
Sophia, 94, 88 72 85 78 91 76 72 87 74 69 
Olivia, 95, 92 73 88 77 94 69 73 88 75 70 
Mia, 96, 89 70 86 78 91 76 71 86 79 68 
Lucas, 97, 94 71 87 79 93 70 72 87 76 68 
Ella, 98, 90 72 85 76 92 68 74 89 78 70 
William, 99, 91 73 88 77 94 69 75 87 76 69 
